Set_ID,Time,end_gen,ngen_expt,Ne,n_ind_exp,n_cages,sequence_length,r_msp,r,r_expt,mu_msp,mu,mu_neutral,shape,scale,mut_ratio,proj,LDdelta,pa,Vs,randomise,pdelta_method,bdelta_method,va_true,vA_true,vA_est,vA_left,pdelta_emp,bdelta_intercept_emp,bdelta_slope_emp,sigma2delta_emp,pdelta_est,pdelta_var_est,bdelta_intercept_est,bdelta_slope_est,bdelta_var_est,sigma2delta_est,seg_sites,seg_sites_neu,seg_sites_ben,seg_sites_del,s_pmq,map_length_history,map_length_expt
bigbird_2024-07-10_22:44:52.658327_1.2e-06_0.014_1.4_1000_10_3,36:42.2,20000,3,1330000,1000,10,1.00E+06,2.63E-11,1.40E-08,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.024490959,0.01981348,0.016080255,0.01981348,-0.315587036,0.000151051,0.011181555,7.42E-05,0.010863088,0.049587492,0.001889438,0.002139157,3.75226852059632e-06_5.92144124506105e-07_1.82736402356478e-07,0.000245405,21661,6136,0,15525,0.00405219,0.014,1.4
bigbird_2024-07-10_22:44:52.658867_1.2e-06_14_1.4_1000_10_3,50:53.4,20000,3,1330000,1000,10,1.00E+06,2.63E-08,1.40E-05,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.024809574,0.023503233,0.010057991,0.023503233,-0.920549244,1.83E-05,0.003320232,1.02E-06,-0.225527471,0.391422693,-0.000159645,-5.80E-05,1.99325848251572e-07_3.21518265255372e-07_-1.24540058152249e-09,8.77E-06,35179,9890,0,25289,0.003432985,14,1.4
bigbird_2024-07-11_00:37:07.628501_1.2e-06_14_1.4_1000_10_3,33:59.9,20000,3,1330000,1000,10,1.00E+06,2.63E-08,1.40E-05,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.025347162,0.023735217,4.77E-05,0.023735217,-0.892839876,-1.86E-05,0.003475811,1.24E-06,1.812535466,4941.625293,9.23E-05,0.00093009,1.70399506361037e-07_2.74215949917995e-07_-3.44696218513225e-11,1.67E-08,35079,9685,0,25394,0.003387071,14,1.4
bigbird_2024-07-11_14:23:39.17733_1.2e-06_1.4_1.4_1000_10_3,06:28.6,20000,3,1330000,1000,10,1.00E+06,2.63E-09,1.40E-06,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.023674799,0.024824943,0.009174461,0.024824943,-0.738106918,-5.34E-05,0.005375932,3.55E-06,-0.446791841,0.190973125,0.000587787,0.002009766,3.36738645188437e-07_1.96776613383444e-07_-1.85813104672256e-08,5.32E-06,29005,7900,0,21105,0.003674231,1.4,1.4
bigfoot_2024-07-10_22:44:52.655343_1.2e-06_0.14_1.4_1000_10_3,50:46.3,20000,3,1330000,1000,10,1.00E+06,2.63E-10,1.40E-07,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.022099079,0.018653039,0.010288213,0.018653039,-0.385739563,4.16E-05,0.010453001,4.24E-05,-0.397101991,0.058203561,0.000670339,0.002272537,1.77125141931726e-06_4.27504103693447e-07_-6.0175417509542e-08,1.89E-05,21106,5664,0,15442,0.00397821,0.14,1.4
bigfoot_2024-07-10_22:44:52.656733_1.2e-06_0.014_1.4_1000_10_3,32:02.8,20000,3,1330000,1000,10,1.00E+06,2.63E-11,1.40E-08,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.022411706,0.022340929,0.012865758,0.022340929,-0.298964585,-0.000166078,0.011606244,8.28E-05,-0.234007091,0.037236976,0.00228163,0.002417314,3.53913611597002e-06_6.98111952092225e-07_1.7267559551392e-07,6.91E-05,20945,5455,0,15490,0.004043402,0.014,1.4
bigfoot_2024-07-11_01:34:22.944918_1.2e-06_0.014_1.4_1000_10_3,41:50.2,20000,3,1330000,1000,10,1.00E+06,2.63E-11,1.40E-08,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.019745534,0.01948649,0.011339116,0.01948649,-0.267521287,-0.000155155,0.011542071,0.000102931,0.080663938,0.132285348,0.003229173,0.001885752,4.28264335532026e-06_6.43865806711432e-07_-4.17812427218678e-10,0.00028311,19538,5184,0,14354,0.004001012,0.014,1.4
bigfoot_2024-07-11_01:51:07.600047_1.2e-06_0.14_1.4_1000_10_3,35:48.0,20000,3,1330000,1000,10,1.00E+06,2.63E-10,1.40E-07,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.025602794,0.026826606,0.021125891,0.026826606,-0.41728449,-0.00010634,0.010277263,3.63E-05,-0.184682202,0.049963637,-0.000364423,0.003341324,1.64825567693633e-06_5.13976273096068e-07_-4.31984426602369e-08,7.95E-05,21823,5954,0,15869,0.004062685,0.14,1.4
bigfoot_2024-07-11_03:44:22.886304_1.2e-06_14_1.4_1000_10_3,59:18.5,20000,3,1330000,1000,10,1.00E+06,2.63E-08,1.40E-05,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.025280247,0.026219807,0.009564828,0.026219807,-0.890415435,2.98E-05,0.003480546,1.24E-06,0.989775114,4.371737395,-0.000210924,0.002526495,2.02459196783354e-07_3.14668643265317e-07_1.86279307074374e-08,0.000192379,35337,9744,0,25593,0.003397046,14,1.4
bigfoot_2024-07-11_04:36:22.627752_1.2e-06_0.014_1.4_1000_10_3,24:52.8,20000,3,1330000,1000,10,1.00E+06,2.63E-11,1.40E-08,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.018127447,0.021828025,0.018853399,0.021828025,-0.291987718,-1.26E-05,0.011402293,8.70E-05,0.043191409,0.042701758,0.00180743,0.001938238,5.84041114458225e-06_6.44124329218816e-07_1.07313766988243e-07,0.000492599,20164,5545,0,14619,0.004022506,0.014,1.4
bigfoot_2024-07-11_06:40:53.138728_1.2e-06_14_1.4_1000_10_3,49:04.9,20000,3,1330000,1000,10,1.00E+06,2.63E-08,1.40E-05,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.024147756,0.022971628,0.005950891,0.022971628,-0.891533578,-2.60E-05,0.003397967,1.17E-06,-0.710238648,0.529492404,0.000543998,0.00077585,1.9199678574247e-07_3.0727244791897e-07_-1.39904198614426e-08,7.67E-07,35719,9958,0,25761,0.003345892,14,1.4
bigfoot_2024-07-11_13:02:38.826829_1.2e-06_0.014_1.4_1000_10_3,11:41.2,20000,3,1330000,1000,10,1.00E+06,2.63E-11,1.40E-08,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.023826465,0.016172934,0.012936863,0.016172934,-0.310139964,-6.88E-05,0.011914533,7.97E-05,-0.47503173,0.0396681,-0.001726215,0.001148288,3.96757238145307e-06_5.93288643802403e-07_-2.58466339371922e-07,2.00E-05,20087,4882,0,15205,0.004074055,0.014,1.4
biggar_2024-07-11_05:32:52.931962_1.2e-06_0.14_1.4_1000_10_3,51:36.7,20000,3,1330000,1000,10,1.00E+06,2.63E-10,1.40E-07,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.022247092,0.023532849,0.012261424,0.023532849,-0.402244531,1.51E-05,0.010208924,3.87E-05,-0.590359184,0.052441754,-0.001856404,0.002500132,1.3606500877765e-06_2.17463288178913e-07_3.46923482688587e-08,7.61E-06,21278,5697,0,15581,0.00392215,0.14,1.4
biggar_2024-07-11_06:25:22.613528_1.2e-06_1.4_1.4_1000_10_3,42:47.2,20000,3,1330000,1000,10,1.00E+06,2.63E-09,1.40E-06,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.023967104,0.024657067,0.00989504,0.024657067,-0.683330703,-3.34E-05,0.005939694,4.94E-06,-0.532688843,1.384054561,0.000475042,0.0016038,3.41152818951564e-07_2.17478000717749e-07_-2.29175945414594e-08,4.20E-06,29038,7963,0,21075,0.003647054,1.4,1.4
biggar_2024-07-11_07:52:37.720428_1.2e-06_0.14_1.4_1000_10_3,31:19.1,20000,3,1330000,1000,10,1.00E+06,2.63E-10,1.40E-07,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.02496201,0.023138689,0.009992529,0.023138689,-0.412355131,-5.93E-07,0.010287126,3.65E-05,-0.238282031,0.064137483,0.000138198,0.003303062,1.67643826322692e-06_5.56733207204202e-07_6.45437640329533e-09,3.19E-05,22698,5961,0,16737,0.003986293,0.14,1.4
biggar_2024-07-11_08:57:37.710347_1.2e-06_14_1.4_1000_10_3,24:18.1,20000,3,1330000,1000,10,1.00E+06,2.63E-08,1.40E-05,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.023649594,0.026333569,0.0097776,0.026333569,-0.913146934,1.55E-05,0.003341488,1.04E-06,1.64841817,7.212939383,-0.000215746,0.00186783,2.1311302381498e-07_2.78140633710942e-07_5.16063900256434e-09,0.001031137,34551,9693,0,24858,0.003443719,14,1.4
biggar_2024-07-11_09:31:52.625961_1.2e-06_0.014_1.4_1000_10_3,27:09.9,20000,3,1330000,1000,10,1.00E+06,2.63E-11,1.40E-08,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.023370977,0.018640995,0.017886704,0.018640995,-0.268715543,-8.08E-05,0.011836596,0.000108164,-0.23898686,0.033945878,-0.00122025,0.001756928,4.94304153500633e-06_8.68975562737336e-07_-6.92623847132206e-08,0.000108366,19917,5377,0,14540,0.004092832,0.014,1.4
biggar_2024-07-11_13:24:53.964177_1.2e-06_0.14_1.4_1000_10_3,55:30.9,20000,3,1330000,1000,10,1.00E+06,2.63E-10,1.40E-07,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.024044518,0.020409503,0.01196212,0.020409503,-0.398663278,0.000260159,0.01057591,4.11E-05,-0.6999877,0.052113206,0.000487505,0.001312547,1.55239286925634e-06_2.21161908051459e-07_-7.83617713953189e-08,3.93E-06,22063,5849,0,16214,0.004042174,0.14,1.4
bigshot_2024-07-10_22:44:52.678542_1.2e-06_1.4_1.4_1000_10_3,32:11.1,20000,3,1330000,1000,10,1.00E+06,2.63E-09,1.40E-06,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.023811907,0.022191645,0.009651909,0.022191645,-0.683425987,3.97E-06,0.005693139,4.80E-06,-0.588975627,0.216627289,-0.000219226,0.002250465,3.30301481439795e-07_2.40558020066305e-07_9.01430812057932e-09,2.94E-06,29573,8127,0,21446,0.003560825,1.4,1.4
bigshot_2024-07-10_22:44:52.690872_1.2e-06_0.14_1.4_1000_10_3,50:35.1,20000,3,1330000,1000,10,1.00E+06,2.63E-10,1.40E-07,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.024716382,0.018423839,0.013490095,0.018423839,-0.379451728,0.000203301,0.010564993,4.62E-05,-0.370662867,0.074651543,0.000703359,0.002033092,1.93644763322709e-06_5.47372320711499e-07_6.97196489457928e-08,2.59E-05,21996,5866,0,16130,0.0039922,0.14,1.4
bigshot_2024-07-11_01:53:53.590838_1.2e-06_1.4_1.4_1000_10_3,52:11.6,20000,3,1330000,1000,10,1.00E+06,2.63E-09,1.40E-06,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.024203286,0.024703512,0.016991329,0.024703512,-0.701360954,-2.57E-06,0.005720142,4.42E-06,-0.588606816,0.097022442,-0.000256758,0.002607582,3.94957656310756e-07_2.57431878740537e-07_-7.92647052719775e-09,5.31E-06,29421,8063,0,21358,0.003632903,1.4,1.4
bigshot_2024-07-11_08:43:22.680609_1.2e-06_1.4_1.4_1000_10_3,23:02.7,20000,3,1330000,1000,10,1.00E+06,2.63E-09,1.40E-06,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.02330018,0.022530367,0.018935159,0.022530367,-0.697556734,-6.27E-06,0.005616609,4.45E-06,-0.809738724,0.078718768,-0.000384568,0.001856667,4.06361628282012e-07_2.56389581770293e-07_-7.75204025647679e-09,2.00E-06,28895,7826,0,21069,0.003634975,1.4,1.4
bigshot_2024-07-11_09:51:37.657726_1.2e-06_0.14_1.4_1000_10_3,58:48.5,20000,3,1330000,1000,10,1.00E+06,2.63E-10,1.40E-07,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.022639551,0.017062824,0.010578716,0.017062824,-0.379887033,-4.89E-05,0.010837188,4.66E-05,-0.090616837,0.062998915,0.000838939,0.001864654,1.85370912104048e-06_6.3141776414688e-07_1.70541861127882e-07,8.21E-05,21309,5698,0,15611,0.00404697,0.14,1.4
bigshot_2024-07-11_13:02:09.481524_1.2e-06_14_1.4_1000_10_3,04:03.5,20000,3,1330000,1000,10,1.00E+06,2.63E-08,1.40E-05,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.022721845,0.022503474,0.008111601,0.022503474,-0.912939532,2.91E-05,0.003223267,9.63E-07,0.38239499,1.616754112,-0.000319604,0.001724143,1.94935441166629e-07_2.7383105212272e-07_-7.96526596854403e-09,3.76E-05,35856,10147,0,25709,0.003337736,14,1.4
bigshot_2024-07-11_14:34:38.642294_1.2e-06_14_1.4_1000_10_3,56:11.7,20000,3,1330000,1000,10,1.00E+06,2.63E-08,1.40E-05,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.024280208,0.023703192,0.013071444,0.023703192,-0.903637991,-1.54E-06,0.003381592,1.13E-06,-0.450597602,0.482183361,-6.34E-05,0.001687981,2.14391351548043e-07_3.25704545874257e-07_4.64950071020291e-09,5.11E-06,34525,9561,0,24964,0.003384993,14,1.4
bigwig_2024-07-10_22:44:53.015943_1.2e-06_1.4_1.4_1000_10_3,40:15.1,20000,3,1330000,1000,10,1.00E+06,2.63E-09,1.40E-06,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.02462631,0.024060292,0.011911983,0.024060292,-0.700718336,8.04E-05,0.005689918,4.52E-06,-0.5418782,0.174172624,-0.00066183,0.00296061,3.81540861659307e-07_3.39278254931314e-07_-1.48066654155275e-08,4.31E-06,29719,8187,0,21532,0.003653813,1.4,1.4
bigwig_2024-07-11_06:52:07.949531_1.2e-06_0.014_1.4_1000_10_3,57:13.3,20000,3,1330000,1000,10,1.00E+06,2.63E-11,1.40E-08,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.023565766,0.016906398,-6.34E-05,0.016906398,-0.315367118,2.42E-05,0.011072753,7.11E-05,0.000492284,848.3886017,0.000454741,0.001035896,1.60446479195675e-06_4.66533609547298e-08_1.84659364482348e-07,1.89E-08,21006,5823,0,15183,0.003985881,0.014,1.4
bigwig_2024-07-11_10:27:37.966017_1.2e-06_1.4_1.4_1000_10_3,37:25.4,20000,3,1330000,1000,10,1.00E+06,2.63E-09,1.40E-06,1.40E-06,2.26E-10,1.20E-06,6.00E-08,0.3,0.033,0,BLoM,FALSE,1,LoNL,TRUE,optim,estimate,0.023538219,0.02438791,0.011460416,0.02438791,-0.694411742,8.97E-06,0.005714183,4.54E-06,-0.381266379,0.244789022,0.000410613,0.001894963,3.66905379339146e-07_2.17156057463e-07_-1.17752572682205e-08,8.85E-06,28900,7759,0,21141,0.003689619,1.4,1.4
