"","Set_ID","Time","end_gen","ngen_expt","Ne","n_ind_exp","n_cages","sequence_length","r_msp","r","r_expt","mu_msp","mu","mu_neutral","shape","scale","mut_ratio","proj","LDdelta","pa","Vs","randomise","pdelta_method","bdelta_method","vA_true","vA_est","pdelta_est","pdelta_var_est","bdelta_intercept_est","bdelta_slope_est","seg_sites","bdelta_var_est","vA_left","seg_sites_neu","seg_sites_ben","seg_sites_del","s_pmq","map_length_history","map_length_expt"
"158","biggar_2024-07-10_03:40:22.619931_1.2e-06_0.014_0.014_1000_10","2024-07-10 03:52:00.083522","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-08,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,15042,NA,NA,643,0,14399,0.00430103346899148,"0.014","0.014"
"160","biggar_2024-07-10_03:47:52.594152_1.2e-06_0.14_0.014_1000_10","2024-07-10 04:03:16.679653","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-08,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,17577,NA,NA,691,0,16886,0.00443996552948214,"0.14","0.014"
"162","biggar_2024-07-10_03:52:22.614606_1.2e-06_0.14_0.14_1000_10","2024-07-10 04:07:01.644664","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,16056,NA,NA,612,0,15444,0.00446453238914485,"0.14","0.14"
"164","biggar_2024-07-10_04:03:37.649079_1.2e-06_0.14_1.4_1000_10","2024-07-10 04:19:27.114075","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,17152,NA,NA,646,0,16506,0.00465959047867891,"0.14","1.4"
"166","biggar_2024-07-10_04:07:22.638433_1.2e-06_1.4_0.014_1000_10","2024-07-10 04:42:10.110712","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-08,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,22427,NA,NA,924,0,21503,0.00478775794320343,"1.4","0.014"
"168","biggar_2024-07-10_04:07:37.617842_1.2e-06_1.4_1.4_1000_10","2024-07-10 04:41:16.112837","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,22434,NA,NA,837,0,21597,0.00491203806247517,"1.4","1.4"
"170","biggar_2024-07-10_04:17:12.949291_1.2e-06_14_1.4_1000_10","2024-07-10 05:32:55.647495","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-08",1.4e-05,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,26877,NA,NA,1106,0,25771,0.00460104145117019,"14","1.4"
"172","biggar_2024-07-10_04:36:52.7362_1.2e-06_0.014_0.14_1000_10","2024-07-10 04:48:51.565682","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,15488,NA,NA,614,0,14874,0.00411488506365508,"0.014","0.14"
"174","biggar_2024-07-10_04:42:37.583272_1.2e-06_0.14_0.014_1000_10","2024-07-10 04:57:16.897406","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-08,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,17076,NA,NA,671,0,16405,0.00443662579802733,"0.14","0.014"
"176","biggar_2024-07-10_04:47:22.593448_1.2e-06_0.14_0.14_1000_10","2024-07-10 05:01:17.299233","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,17139,NA,NA,622,0,16517,0.00469061465132571,"0.14","0.14"
"178","biggar_2024-07-10_04:57:37.582991_1.2e-06_1.4_0.14_1000_10","2024-07-10 05:29:46.871827","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,22484,NA,NA,856,0,21628,0.00478773734998885,"1.4","0.14"
"180","biggar_2024-07-10_05:08:37.621449_1.2e-06_14_0.014_1000_10","2024-07-10 06:26:24.318836","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-08",1.4e-05,1.4e-08,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,26763,NA,NA,1043,0,25720,0.0048922585141195,"14","0.014"
"182","biggar_2024-07-10_05:12:07.589429_1.2e-06_14_0.14_1000_10","2024-07-10 06:28:47.135029","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-08",1.4e-05,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,25964,NA,NA,1070,0,24894,0.00480012366654564,"14","0.14"
"184","biggar_2024-07-10_05:19:37.6611_1.2e-06_14_1.4_1000_10","2024-07-10 06:41:37.09542","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-08",1.4e-05,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,26339,NA,NA,1053,0,25286,0.00483019253553734,"14","1.4"
"186","biggar_2024-07-10_05:33:22.637384_1.2e-06_0.014_0.14_1000_10","2024-07-10 05:45:40.029362","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,15265,NA,NA,552,0,14713,0.00404696259650429,"0.014","0.14"
"188","biggar_2024-07-10_05:45:23.303574_1.2e-06_0.014_1.4_1000_10","2024-07-10 05:57:45.461226","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,15846,NA,NA,629,0,15217,0.00430270860162823,"0.014","1.4"
"190","biggar_2024-07-10_05:54:07.604412_1.2e-06_0.14_0.14_1000_10","2024-07-10 06:09:53.364961","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,16787,NA,NA,641,0,16146,0.00453447225804338,"0.14","0.14"
"192","biggar_2024-07-10_06:10:22.62827_1.2e-06_1.4_0.14_1000_10","2024-07-10 06:48:15.295309","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,22597,NA,NA,915,0,21682,0.00475351885368081,"1.4","0.14"
"194","biggar_2024-07-10_06:18:07.648941_1.2e-06_14_0.014_1000_10","2024-07-10 07:34:46.451717","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-08",1.4e-05,1.4e-08,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,26837,NA,NA,1111,0,25726,0.00489451026817342,"14","0.014"
"196","biggar_2024-07-10_06:26:52.607721_1.2e-06_14_0.14_1000_10","2024-07-10 07:46:17.198714","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-08",1.4e-05,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,26619,NA,NA,1106,0,25513,0.00482983603973113,"14","0.14"
"198","biggar_2024-07-10_06:42:07.610431_1.2e-06_0.014_0.14_1000_10","2024-07-10 06:54:59.594359","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,15298,NA,NA,619,0,14679,0.00432505295785046,"0.014","0.14"
"200","biggar_2024-07-10_06:47:37.610498_1.2e-06_0.014_1.4_1000_10","2024-07-10 07:00:35.154024","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,15790,NA,NA,582,0,15208,0.00420959845744313,"0.014","1.4"
"202","biggar_2024-07-10_06:53:22.645661_1.2e-06_0.14_0.14_1000_10","2024-07-10 07:10:42.668826","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,17179,NA,NA,666,0,16513,0.00465808011178956,"0.14","0.14"
"204","biggar_2024-07-10_06:57:52.633262_1.2e-06_1.4_0.014_1000_10","2024-07-10 07:36:24.878945","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-08,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,22422,NA,NA,908,0,21514,0.00472351747800881,"1.4","0.014"
"206","biggar_2024-07-10_07:02:22.611538_1.2e-06_1.4_1.4_1000_10","2024-07-10 07:41:07.590776","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,22709,NA,NA,906,0,21803,0.00467271727862905,"1.4","1.4"
"208","biggar_2024-07-10_07:15:37.608651_1.2e-06_14_0.14_1000_10","2024-07-10 08:39:34.176113","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-08",1.4e-05,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,26112,NA,NA,1017,0,25095,0.00479776772307437,"14","0.14"
"210","biggar_2024-07-10_07:20:22.633522_1.2e-06_14_1.4_1000_10","2024-07-10 08:40:24.906103","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-08",1.4e-05,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,26449,NA,NA,1071,0,25378,0.00483650560537397,"14","1.4"
"212","biggar_2024-07-10_07:36:52.611504_1.2e-06_0.14_0.14_1000_10","2024-07-10 07:53:57.392806","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,17182,NA,NA,681,0,16501,0.0043822887858098,"0.14","0.14"
"214","biggar_2024-07-10_07:46:37.615075_1.2e-06_1.4_0.014_1000_10","2024-07-10 08:25:52.376306","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-08,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,21941,NA,NA,887,0,21054,0.00486582939571112,"1.4","0.014"
"216","biggar_2024-07-10_07:54:37.60501_1.2e-06_14_0.014_1000_10","2024-07-10 09:17:46.350541","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-08",1.4e-05,1.4e-08,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,26742,NA,NA,1093,0,25649,0.00485382112652852,"14","0.014"
"218","biggar_2024-07-10_07:58:07.635567_1.2e-06_14_0.14_1000_10","2024-07-10 09:18:15.710379","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-08",1.4e-05,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,26690,NA,NA,1106,0,25584,0.00467145269246575,"14","0.14"
"220","biggar_2024-07-10_08:04:52.625116_1.2e-06_14_1.4_1000_10","2024-07-10 09:31:21.115076","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-08",1.4e-05,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,26517,NA,NA,1127,0,25390,0.004784742031867,"14","1.4"
"222","biggar_2024-07-10_08:34:52.63725_1.2e-06_0.14_0.014_1000_10","2024-07-10 08:52:40.503081","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-08,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,17165,NA,NA,705,0,16460,0.00445285800588073,"0.14","0.014"
"224","biggar_2024-07-10_08:40:52.633866_1.2e-06_0.14_1.4_1000_10","2024-07-10 08:58:05.424317","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,17477,NA,NA,667,0,16810,0.00456867158896924,"0.14","1.4"
"226","biggar_2024-07-10_08:53:07.60178_1.2e-06_1.4_1.4_1000_10","2024-07-10 09:29:27.394165","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,22083,NA,NA,843,0,21240,0.00480227520457733,"1.4","1.4"
"228","biggar_2024-07-10_09:00:37.621032_1.2e-06_14_1.4_1000_10","2024-07-10 10:14:12.171672","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-08",1.4e-05,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,26643,NA,NA,1093,0,25550,0.00484065803290839,"14","1.4"
"230","bigshot_2024-07-10_00:45:52.671466_1.2e-06_14_0.014_1000_10","2024-07-10 04:07:07.526734","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-08",1.4e-05,1.4e-08,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,25975,NA,NA,1031,0,24944,0.00475350834504179,"14","0.014"
"232","bigshot_2024-07-10_00:45:52.682753_1.2e-06_0.14_1.4_1000_10","2024-07-10 01:17:56.410052","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,17364,NA,NA,655,0,16709,0.004421825649984,"0.14","1.4"
"234","bigshot_2024-07-10_03:41:38.066205_1.2e-06_0.014_1.4_1000_10","2024-07-10 04:08:42.833313","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,16135,NA,NA,625,0,15510,0.00420975705902517,"0.014","1.4"
"236","bigshot_2024-07-10_04:09:07.616673_1.2e-06_14_0.14_1000_10","2024-07-10 07:31:01.525162","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-08",1.4e-05,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,26956,NA,NA,1140,0,25816,0.00478573914000314,"14","0.14"
"238","bigshot_2024-07-10_08:41:37.642319_1.2e-06_1.4_0.014_1000_10","2024-07-10 09:46:16.084963","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-08,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,22794,NA,NA,901,0,21893,0.00471053730573019,"1.4","0.014"
